"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs10a2q01","cs10a2q04_a","cs10a2q04_b","cs10a2q04_c"
"01010101601",1,1,1,1,8,88,16,1,1,26,5,2004
"01010201403",1,1,1,2,8,88,14,3,2,26,5,2004
"01010300106",0,1,1,3,1,1,1,6,1,19,5,2004
"01010301804",1,1,1,3,8,88,18,4,1,27,5,2004
"01010500204",1,1,1,5,8,88,2,4,2,25,5,2004
"01010600402",1,1,1,6,8,88,4,2,2,20,5,2004
"01020100207",1,1,2,1,8,88,2,7,2,16,5,2004
"01020200802",1,1,2,2,8,88,8,2,2,19,5,2004
"01020301001",1,1,2,3,8,88,10,1,2,19,5,2004
"01020401702",1,1,2,4,8,88,17,2,2,,,
"01020601301",1,1,2,6,8,88,13,1,1,19,5,2004
"01020700101",0,1,2,7,8,88,1,1,2,20,5,2004
"01020800603",1,1,2,8,8,88,6,3,1,19,5,2004
"01020900602",1,1,2,9,8,88,6,2,2,17,5,2004
"01030100204",1,1,3,1,8,88,2,4,2,13,5,2004
"01030300605",1,1,3,3,8,88,6,5,1,22,5,2004
"01030400101",1,1,3,4,8,88,1,1,1,23,5,2004
"01030501202",1,1,3,5,8,88,12,2,2,12,5,2004
"01030600608",1,1,3,6,8,88,6,8,1,,,
"01030700116",0,1,3,7,1,0,1,16,2,17,5,2004
"01030700709",1,1,3,7,8,88,7,9,2,20,5,2004
"01040101204",1,1,4,1,8,88,12,4,1,19,5,2004
"01040300109",0,1,4,3,1,0,1,9,2,15,5,2004
"01040300404",1,1,4,3,8,88,4,4,2,16,5,2004
"01040400103",1,1,4,4,8,88,1,3,1,22,5,2004
"01040500701",1,1,4,5,8,88,7,1,2,18,5,2004
"01040600803",1,1,4,6,8,88,8,3,1,16,5,2004
"01040800402",1,1,4,8,8,88,4,2,2,15,5,2004
"01050100105",1,1,5,1,8,88,1,5,2,15,5,2004
"01050200201",1,1,5,2,8,88,2,1,2,17,5,2004
"01050200712",1,1,5,2,8,88,7,12,2,19,5,2004
"01050201503",1,1,5,2,8,88,15,3,2,4,6,2004
"01050301501",1,1,5,3,8,88,15,1,2,13,5,2004
"01050302304",1,1,5,3,8,88,23,4,2,20,5,2004
"02010200102",0,2,1,2,4,1,1,2,2,,,
"02010300102",1,2,1,3,8,88,1,2,2,22,5,2004
"02010300601",1,2,1,3,8,88,6,1,2,18,5,2004
"02010300802",1,2,1,3,8,88,8,2,,,,
"02010400201",1,2,1,4,8,88,2,1,1,16,5,2004
"02010500404",1,2,1,5,8,88,4,4,2,,,
"02010501103",1,2,1,5,8,88,11,3,2,26,5,2004
"02010600402",1,2,1,6,8,88,4,2,1,27,5,2004
"02030100101",0,2,3,1,1,1,1,1,1,22,5,2004
"02030200102",1,2,3,2,8,88,1,2,2,18,5,2004
"02030400601",1,2,3,4,8,88,6,1,1,21,5,2004
"02030600601",1,2,3,6,8,88,6,1,1,,,
"03010100204",1,3,1,1,8,88,2,4,1,17,5,2004
"03010400901",1,3,1,4,8,88,9,1,2,19,5,2004
"03010800701",1,3,1,8,8,88,7,1,1,24,5,2004
"03011001806",1,3,1,10,8,88,18,6,2,21,5,2004
"03011100102",0,3,1,11,8,88,1,2,1,26,5,2004
"03011200203",1,3,1,12,8,88,2,3,2,21,5,2004
"03011400816",1,3,1,14,8,88,8,16,2,17,5,2004
"03011602804",1,3,1,16,8,88,28,4,2,15,5,2004
"03012000105",0,3,1,20,1,1,1,5,,,,
"03020100703",1,3,2,1,8,88,7,3,1,19,5,2004
"03020202508",1,3,2,2,8,88,25,8,2,20,5,2004
"03020400906",1,3,2,4,8,88,9,6,2,19,5,2004
"03020501907",1,3,2,5,8,88,19,7,2,,,
"03020703703",1,3,2,7,8,88,37,3,1,,,
"03020900104",0,3,2,9,1,1,1,4,2,24,5,2004
"03020900708",1,3,2,9,8,88,7,8,2,,,
"03030100204",1,3,3,1,8,88,2,4,2,19,5,2004
"03030200108",0,3,3,2,2,2,1,8,2,16,5,2004
"03030202104",1,3,3,2,8,88,21,4,2,19,5,2004
"03030302404",1,3,3,3,8,88,24,4,2,19,5,2004
"03030400906",1,3,3,4,8,88,9,6,2,15,5,2004
"03030501101",1,3,3,5,8,88,11,1,1,21,5,2004
"03030701002",1,3,3,7,8,88,10,2,1,17,5,2004
"03030801617",1,3,3,8,8,88,16,17,1,19,5,2004
"03031001701",1,3,3,10,8,88,17,1,1,18,5,2004
"03040301401",1,3,4,3,8,88,14,1,2,12,6,2004
"03040600801",1,3,4,6,8,88,8,1,2,5,6,2004
"03040901203",1,3,4,9,8,88,12,3,2,11,6,2004
"03041100903",1,3,4,11,8,88,9,3,1,23,5,2004
"03041200105",0,3,4,12,1,0,1,5,2,22,5,2004
"03041402101",1,3,4,14,8,88,21,1,2,14,5,2004
"03041600204",1,3,4,16,8,88,2,4,1,10,6,2004
"03050101504",1,3,5,1,8,88,15,4,3,29,5,2004
"03050400305",1,3,5,4,8,88,3,5,1,25,5,2004
"03050701204",1,3,5,7,8,88,12,4,1,20,5,2004
"03050900104",0,3,5,9,2,1,1,4,1,19,5,2004
"03051100307",1,3,5,11,8,88,3,7,1,17,5,2004
"03051300702",1,3,5,13,8,88,7,2,3,22,5,2004
"03051500703",1,3,5,15,8,88,7,3,,,,
"03052100808",1,3,5,21,8,88,8,8,1,22,5,2004
"03060202603",1,3,6,2,8,88,26,3,1,19,5,2004
"03060402001",1,3,6,4,8,88,20,1,2,,,
"03060602103",1,3,6,6,8,88,21,3,2,14,5,2004
"03060901807",1,3,6,9,8,88,18,7,2,21,5,2004
"03061102207",1,3,6,11,8,88,22,7,1,18,5,2004
"03061400105",0,3,6,14,8,88,1,5,2,23,5,2004
"03061601207",1,3,6,16,8,88,12,7,2,,,
"03070101406",1,3,7,1,8,88,14,6,2,14,5,2004
"03070300105",1,3,7,3,8,88,1,5,2,17,5,2004
"03070401302",1,3,7,4,8,88,13,2,1,16,5,2004
"03070500105",0,3,7,5,8,88,1,5,2,1,6,2004
"03070502405",1,3,7,5,8,88,24,5,2,17,5,2004
"03070801402",1,3,7,8,8,88,14,2,2,20,5,2004
"03071001703",1,3,7,10,8,88,17,3,2,,,
"03071301304",1,3,7,13,8,88,13,4,2,17,5,2004
"03080201503",1,3,8,2,8,88,15,3,2,26,5,2004
"03080300107",0,3,8,3,1,1,1,7,1,26,5,2004
"03080300603",1,3,8,3,8,88,6,3,2,21,5,2004
"03080400503",1,3,8,4,8,88,5,3,2,20,5,2004
"03090101202",1,3,9,1,8,88,12,2,2,19,5,2004
"03090202501",1,3,9,2,8,88,25,1,2,22,5,2004
"03090203201",1,3,9,2,8,88,32,1,2,24,5,2004
"03090400702",1,3,9,4,8,88,7,2,1,16,5,2004
"03090501102",1,3,9,5,8,88,11,2,1,27,5,2004
"03090600105",0,3,9,6,2,1,1,5,1,12,5,2004
"03100101106",1,3,10,1,8,88,11,6,2,8,6,2004
"03100201601",1,3,10,2,8,88,16,1,2,5,6,2004
"03100400103",0,3,10,4,3,1,1,3,1,23,5,2004
"03100400408",1,3,10,4,8,88,4,8,1,23,5,2004
"03120100101",1,3,12,1,8,88,1,1,1,17,5,2004
"03120100303",1,3,12,1,8,88,3,3,1,19,5,2004
"03120100504",1,3,12,1,8,88,5,4,1,22,5,2004
"04010102202",1,4,1,1,8,88,22,2,1,18,5,2004
"04011300501",1,4,1,13,8,88,5,1,2,19,5,2004
"04011600103",0,4,1,16,2,1,1,3,,,,
"04011802402",1,4,1,18,8,88,24,2,2,25,5,2004
"04020401105",1,4,2,4,8,88,11,5,2,19,5,2004
"04021001102",1,4,2,10,8,88,11,2,2,,,
"04021400204",0,4,2,14,1,1,2,4,,,,
"04021401801",1,4,2,14,8,88,18,1,,,,
"04030201803",1,4,3,2,8,88,18,3,,,,
"04030800108",0,4,3,8,1,0,1,8,,,,
"04030800401",1,4,3,8,8,88,4,1,,,,
"04031400602",1,4,3,14,8,88,6,2,2,,,
"04040101103",1,4,4,1,8,88,11,3,,,,
"04040501902",1,4,4,5,8,88,19,2,1,26,5,2004
"04041000701",1,4,4,10,8,88,7,1,2,,,
"04041200104",0,4,4,12,8,88,1,4,,,,
"04041401702",1,4,4,14,8,88,17,2,,,,
"04050303104",1,4,5,3,8,88,31,4,1,,,
"04050803103",1,4,5,8,8,88,31,3,,,,
"04051200104",0,4,5,12,8,88,1,4,,,,
"04051302405",1,4,5,13,8,88,24,5,,,,
"04060100102",0,4,6,1,1,1,1,2,3,19,5,2004
"04060102303",1,4,6,1,8,88,23,3,1,22,5,2004
"04060501004",1,4,6,5,8,88,10,4,2,21,5,2004
"04060801902",1,4,6,8,8,88,19,2,2,,,
"04070101502",1,4,7,1,8,88,15,2,1,17,5,2004
"04070401002",1,4,7,4,8,88,10,2,1,21,5,2004
"04070702702",1,4,7,7,8,88,27,2,1,20,5,2004
"04071202302",1,4,7,12,8,88,23,2,1,19,5,2004
"04080600802",1,4,8,6,8,88,8,2,1,25,5,2004
"04080800107",0,4,8,8,8,88,1,7,1,18,5,2004
"04081202401",1,4,8,12,8,88,24,1,1,,,
"04081702801",1,4,8,17,8,88,28,1,,,,
"04090100304",1,4,9,1,8,88,3,4,1,21,5,2004
"04090700105",1,4,9,7,8,88,1,5,1,20,5,2004
"04090900105",0,4,9,9,1,1,1,5,1,22,5,2004
"04091001104",1,4,9,10,8,88,11,4,1,23,5,2004
"04091301004",1,4,9,13,8,88,10,4,1,22,5,2004
"04100500403",1,4,10,5,8,88,4,3,,,,
"04100903605",1,4,10,9,8,88,36,5,1,21,5,2004
"04101302203",1,4,10,13,8,88,22,3,1,18,5,2004
"04101600104",0,4,10,16,8,88,1,4,2,,,
"04110401304",1,4,11,4,8,88,13,4,2,25,5,2004
"04110801402",1,4,11,8,8,88,14,2,,,,
"04111200402",1,4,11,12,8,88,4,2,2,21,5,2004
"04111601404",1,4,11,16,8,88,14,4,2,23,5,2004
"04111800102",0,4,11,18,8,88,1,2,,,,
"04120602801",1,4,12,6,8,88,28,1,,,,
"04121101301",1,4,12,11,8,88,13,1,,,,
"04121600101",1,4,12,16,8,88,1,1,2,,,
"04130201103",1,4,13,2,8,88,11,3,,,,
"04130500102",0,4,13,5,8,88,1,2,2,22,5,2004
"04130600204",1,4,13,6,8,88,2,4,2,19,5,2004
"04130901003",1,4,13,9,8,88,10,3,1,19,5,2004
"04140202701",1,4,14,2,8,88,27,1,2,11,5,2004
"04140501906",1,4,14,5,8,88,19,6,,,,
"04140900501",1,4,14,9,8,88,5,1,,,,
"04170301901",1,4,17,3,8,88,19,1,1,26,5,2004
"04170700204",1,4,17,7,8,88,2,4,,,,
"04171200807",1,4,17,12,8,88,8,7,1,25,5,2004
"04180301004",1,4,18,3,8,88,10,4,,,,
"04180701106",1,4,18,7,8,88,11,6,,,,
"04190100103",1,4,19,1,8,88,1,3,1,21,5,2004
"04190400101",1,4,19,4,8,88,1,1,1,17,5,2004
"04190800704",1,4,19,8,8,88,7,4,1,12,5,2004
"05010100902",1,5,1,1,8,88,9,2,,,,
"05010200101",0,5,1,2,1,0,1,1,2,25,5,2004
"05010202401",1,5,1,2,8,88,24,1,2,17,5,2004
"05010301101",1,5,1,3,8,88,11,1,,,,
"05010401102",1,5,1,4,8,88,11,2,2,16,5,2004
"05010401701",1,5,1,4,8,88,17,1,2,20,5,2004
"05020200102",0,5,2,2,8,88,1,2,,,,
"05020201001",1,5,2,2,8,88,10,1,,,,
"05020408901",1,5,2,4,8,88,89,1,,,,
"05020416502",1,5,2,4,8,88,165,2,,,,
"05020600901",1,5,2,6,8,88,9,1,2,21,5,2004
"05020602801",1,5,2,6,8,88,28,1,,,,
"05020603803",1,5,2,6,8,88,38,3,,,,
"05020704801",1,5,2,7,8,88,48,1,,,,
"05020709201",1,5,2,7,8,88,92,1,2,19,5,2004
"05090100907",1,5,9,1,8,88,9,7,,,,
"05090102802",1,5,9,1,8,88,28,2,,,,
"05090201201",1,5,9,2,8,88,12,1,,,,
"05090302001",1,5,9,3,8,88,20,1,2,18,5,2004
"05090302602",1,5,9,3,8,88,26,2,2,20,5,2004
"05090303404",1,5,9,3,8,88,34,4,2,16,5,2004
"05090400101",0,5,9,4,4,1,1,1,,,,
"05090400302",1,5,9,4,8,88,3,2,,,,
"06020100802",1,6,2,1,8,88,8,2,,,,
"06020400402",1,6,2,4,8,88,4,2,,,,
"06020701002",1,6,2,7,8,88,10,2,1,19,5,2004
"06030100301",1,6,3,1,8,88,3,1,,,,
"06030304202",1,6,3,3,8,88,42,2,,,,
"06030500102",0,6,3,5,1,1,1,2,,,,
"06030503003",1,6,3,5,8,88,30,3,,,,
"06040200801",1,6,4,2,8,88,8,1,,,,
"06040500203",1,6,4,5,8,88,2,3,2,24,5,2004
"06060800402",1,6,6,8,8,88,4,2,,,,
"06060801401",1,6,6,8,8,88,14,1,2,22,5,2004
"07010300404",1,7,1,3,8,88,4,4,2,19,5,2004
"07010502502",1,7,1,5,8,88,25,2,1,,,
"07010800701",1,7,1,8,8,88,7,1,2,20,5,2004
"07011000102",0,7,1,10,1,1,1,2,1,,,
"07011100401",1,7,1,11,8,88,4,1,1,,,
"07011202605",1,7,1,12,8,88,26,5,1,,,
"07020200105",0,7,2,2,1,1,1,5,,,,
"07020201001",1,7,2,2,8,88,10,1,,,,
"07020501302",1,7,2,5,8,88,13,2,,,,
"07020701001",1,7,2,7,8,88,10,1,,,,
"07021001401",1,7,2,10,8,88,14,1,,,,
"07030200501",1,7,3,2,8,88,5,1,1,,,
"07030400501",1,7,3,4,8,88,5,1,1,17,5,2004
"07030600204",1,7,3,6,8,88,2,4,1,21,5,2004
"07040101103",1,7,4,1,8,88,11,3,2,24,5,2004
"07040400903",1,7,4,4,8,88,9,3,2,25,5,2004
"07040601903",1,7,4,6,8,88,19,3,2,27,5,2004
"07040901103",1,7,4,9,8,88,11,3,2,8,5,2004
"07041000105",0,7,4,10,1,1,1,5,1,16,5,2004
"07041200908",1,7,4,12,8,88,9,8,1,19,5,2004
"07041700202",1,7,4,17,8,88,2,2,1,17,5,2004
"07050100907",1,7,5,1,8,88,9,7,2,15,5,2004
"07050201705",1,7,5,2,8,88,17,5,2,13,5,2004
"07050302201",1,7,5,3,8,88,22,1,2,16,5,2004
"07050500304",1,7,5,5,8,88,3,4,2,17,5,2004
"07050601303",1,7,5,6,8,88,13,3,2,19,5,2004
"07060201501",1,7,6,2,8,88,15,1,,,,
"07060300103",0,7,6,3,1,1,1,3,1,,,
"07060500601",1,7,6,5,8,88,6,1,1,,,
"07060700601",1,7,6,7,8,88,6,1,1,,,
"07061000902",1,7,6,10,8,88,9,2,1,,,
"07070100903",1,7,7,1,8,88,9,3,,,,
"07070202904",1,7,7,2,8,88,29,4,,,,
"07070302101",1,7,7,3,8,88,21,1,,,,
"07070600103",0,7,7,6,8,88,1,3,,,,
"07080100401",1,7,8,1,8,88,4,1,1,18,5,2004
"07080300206",1,7,8,3,8,88,2,6,2,16,5,2004
"07080301501",1,7,8,3,8,88,15,1,,,,
"07090200503",1,7,9,2,8,88,5,3,,,,
"07090500303",1,7,9,5,8,88,3,3,,,,
"07090600104",0,7,9,6,1,1,1,4,,,,
"07090701501",1,7,9,7,8,88,15,1,,,,
"07090900601",1,7,9,9,8,88,6,1,1,17,5,2004
"07100100403",1,7,10,1,8,88,4,3,,,,
"07100301001",1,7,10,3,8,88,10,1,,,,
"07100602401",1,7,10,6,8,88,24,1,,,,
"07100800105",0,7,10,8,1,1,1,5,2,2,6,2004
"07100901703",1,7,10,9,8,88,17,3,1,,,
"07101202901",1,7,10,12,8,88,29,1,1,,,
"07110100201",1,7,11,1,8,88,2,1,1,,,
"07110301302",1,7,11,3,8,88,13,2,1,,,
"07110400302",0,7,11,4,1,1,3,2,2,28,5,2004
"07110401603",1,7,11,4,8,88,16,3,2,17,5,2004
"07110502003",1,7,11,5,8,88,20,3,1,27,5,2004
"07110800501",1,7,11,8,8,88,5,1,2,,,
"07120100102",1,7,12,1,8,88,1,2,,,,
"07120101602",1,7,12,1,8,88,16,2,,,,
"07120102802",1,7,12,1,8,88,28,2,,,,
"07130101301",1,7,13,1,8,88,13,1,,,,
"07130102505",1,7,13,1,8,88,25,5,,,,
"07140100402",1,7,14,1,8,88,4,2,,,,
"07140101303",1,7,14,1,8,88,13,3,,,,
"07150100704",1,7,15,1,8,88,7,4,,,,
"07150102609",1,7,15,1,8,88,26,9,,,,
"07150104404",1,7,15,1,8,88,44,4,,,,
"07160100803",1,7,16,1,8,88,8,3,1,,,
"07160101705",1,7,16,1,8,88,17,5,1,,,
"07170100103",1,7,17,1,8,88,1,3,1,15,5,2004
"07170200104",0,7,17,2,2,1,1,4,1,12,5,2004
"07170200803",1,7,17,2,8,88,8,3,3,,,
"07170301401",1,7,17,3,8,88,14,1,2,16,5,2004
"07170402501",1,7,17,4,8,88,25,1,2,11,5,2004
"07180100101",1,7,18,1,8,88,1,1,2,19,5,2004
"07180101001",1,7,18,1,8,88,10,1,,,,
"07180102302",1,7,18,1,8,88,23,2,1,,,
"07190100701",1,7,19,1,8,88,7,1,1,18,5,2004
"07190102302",1,7,19,1,8,88,23,2,1,22,5,2004
"07200101203",1,7,20,1,8,88,12,3,1,,,
"07200203802",1,7,20,2,8,88,38,2,,,,
"07200500107",0,7,20,5,8,88,1,7,2,,,
"07200500604",1,7,20,5,8,88,6,4,,,,
"07200800805",1,7,20,8,8,88,8,5,1,22,5,2004
"07210103003",1,7,21,1,8,88,30,3,,,,
"07210106202",1,7,21,1,8,88,62,2,,,,
"12010100401",1,12,1,1,8,88,4,1,2,20,5,2004
"12010200401",1,12,1,2,8,88,4,1,,,,
"12010200901",1,12,1,2,8,88,9,1,,,,
"12010300103",0,12,1,3,1,1,1,3,,,,
"12020101701",1,12,2,1,8,88,17,1,2,22,5,2004
"12020300401",1,12,2,3,8,88,4,1,,,,
"12030100107",1,12,3,1,8,88,1,7,1,19,5,2004
"12030100704",1,12,3,1,8,88,7,4,1,3,6,2004
"12030201002",1,12,3,2,8,88,10,2,1,1,6,2004
"12030240301",1,12,3,2,8,88,403,1,1,12,5,2004
"12040101602",1,12,4,1,8,88,16,2,2,20,5,2004
"13010100102",1,13,1,1,8,88,1,2,1,22,5,2004
"13010100303",1,13,1,1,8,88,3,3,2,28,5,2004
"13010100405",1,13,1,1,8,88,4,5,,,,
"13010100601",1,13,1,1,8,88,6,1,,,,
"13010100704",1,13,1,1,8,88,7,4,,,,
"13010100905",1,13,1,1,8,88,9,5,,,,
"13010101103",1,13,1,1,8,88,11,3,,,,
"13010101304",1,13,1,1,8,88,13,4,1,,,
"13010101405",1,13,1,1,8,88,14,5,,,,
"13010101603",1,13,1,1,8,88,16,3,,,,
"15010200404",1,15,1,2,8,88,4,4,2,23,5,2004
"15010200704",1,15,1,2,8,88,7,4,2,30,5,2004
"15010201002",1,15,1,2,8,88,10,2,,,,
"15010201201",1,15,1,2,8,88,12,1,2,24,5,2004
"15010201401",1,15,1,2,8,88,14,1,1,26,5,2004
"15010201605",1,15,1,2,8,88,16,5,2,21,5,2004
"15010201805",1,15,1,2,8,88,18,5,,1,6,2004
"15010202404",1,15,1,2,8,88,24,4,2,24,5,2004
"15010202801",1,15,1,2,8,88,28,1,2,24,5,2004
"15010203102",1,15,1,2,8,88,31,2,2,20,5,2004
