"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","item","cs7q00","cs7q01_a","cs7q01_b","cs7q02","cs7q03"
"01010101601",1,1,1,1,8,88,16,1,1,1,"Livestock Disease",4,2004,20
"01010101601",1,1,1,1,8,88,16,1,2,1,"Drought",1,2004,50
"01010101601",1,1,1,1,8,88,16,1,3,1,"Other Bad (Specify)",11,2002,15
"01010101601",1,1,1,1,8,88,16,1,1,2,"PSNP",19,1999,27
"01010101601",1,1,1,1,8,88,16,1,2,2,"Improved Electricity",18,2002,30
"01010101601",1,1,1,1,8,88,16,1,3,2,"Development Project",12,2002,22
"01010101601",1,1,1,1,8,88,16,1,4,2,"Improved Transportation Services",17,2003,48
"01010201403",1,1,1,2,8,88,14,3,1,1,"Power Outage(s)",10,2002,50
"01010201403",1,1,1,2,8,88,14,3,2,1,"Sharp Change in Prices",7,2000,50
"01010201403",1,1,1,2,8,88,14,3,3,1,"Livestock Disease",4,2004,100
"01010201403",1,1,1,2,8,88,14,3,4,1,"Drought",1,2002,100
"01010201403",1,1,1,2,8,88,14,3,1,2,"Improved Transportation Services",17,2002,1
"01010201403",1,1,1,2,8,88,14,3,2,2,"PSNP",19,1999,22
"01010201403",1,1,1,2,8,88,14,3,3,2,"Development Project",12,2002,3
"01010201403",1,1,1,2,8,88,14,3,4,2,"New School",16,2003,50
"01010300106",0,1,1,3,1,1,1,6,1,1,"Sharp Change in Prices",7,2000,50
"01010300106",0,1,1,3,1,1,1,6,1,2,"New Road",15,2004,100
"01010300106",0,1,1,3,1,1,1,6,2,2,"Development Project",12,2002,65
"01010300106",0,1,1,3,1,1,1,6,3,2,"Improved Electricity",18,2003,70
"01010300106",0,1,1,3,1,1,1,6,4,2,"PSNP",19,2000,35
"01010301804",1,1,1,3,8,88,18,4,1,1,"Livestock Disease",4,2003,5
"01010301804",1,1,1,3,8,88,18,4,2,1,"Human Epidemic Disease",5,2004,50
"01010301804",1,1,1,3,8,88,18,4,3,1,"Drought",1,2004,25
"01010301804",1,1,1,3,8,88,18,4,1,2,"Development Project",12,2001,5
"01010301804",1,1,1,3,8,88,18,4,2,2,"New Health Facility",14,2002,20
"01010301804",1,1,1,3,8,88,18,4,3,2,"PSNP",19,1999,20
"01010301804",1,1,1,3,8,88,18,4,4,2,"New School",16,2002,40
"01010500204",1,1,1,5,8,88,2,4,1,1,"Other Bad (Specify)",11,2003,10
"01010500204",1,1,1,5,8,88,2,4,2,1,"Livestock Disease",4,2001,20
"01010500204",1,1,1,5,8,88,2,4,1,2,"Other Good (Specify)",20,2003,11
"01010600402",1,1,1,6,8,88,4,2,1,1,"Other Bad (Specify)",11,2003,1
"01010600402",1,1,1,6,8,88,4,2,1,2,"Development Project",12,2003,17
"01020100207",1,1,2,1,8,88,2,7,1,1,"Other Bad (Specify)",11,2003,25
"01020100207",1,1,2,1,8,88,2,7,2,1,"Drought",1,2001,75
"01020100207",1,1,2,1,8,88,2,7,3,1,"Crop Disease/Pests",3,2004,25
"01020100207",1,1,2,1,8,88,2,7,4,1,"Drought",1,2003,88
"01020100207",1,1,2,1,8,88,2,7,1,2,"New School",16,2004,25
"01020100207",1,1,2,1,8,88,2,7,2,2,"PSNP",19,2003,75
"01020200802",1,1,2,2,8,88,8,2,1,1,"Drought",1,2003,50
"01020200802",1,1,2,2,8,88,8,2,2,1,"Sharp Change in Prices",7,2003,100
"01020200802",1,1,2,2,8,88,8,2,3,1,"Drought",1,2004,50
"01020200802",1,1,2,2,8,88,8,2,4,1,"Sharp Change in Prices",7,2002,100
"01020200802",1,1,2,2,8,88,8,2,1,2,"PSNP",19,2002,90
"01020301001",1,1,2,3,8,88,10,1,1,2,"Development Project",12,2002,5
"01020301001",1,1,2,3,8,88,10,1,2,2,"New Health Facility",14,1999,100
"01020301001",1,1,2,3,8,88,10,1,3,2,"PSNP",19,1999,32
"01020401702",1,1,2,4,8,88,17,2,1,2,"New Employment Oppurtunity",13,1999,10
"01020401702",1,1,2,4,8,88,17,2,2,2,"Development Project",12,1999,25
"01020401702",1,1,2,4,8,88,17,2,3,2,"PSNP",19,2001,33
"01020601301",1,1,2,6,8,88,13,1,1,2,"Improved Transportation Services",17,2000,33
"01020601301",1,1,2,6,8,88,13,1,2,2,"Development Project",12,1999,50
"01020601301",1,1,2,6,8,88,13,1,3,2,"PSNP",19,2002,75
"01020601301",1,1,2,6,8,88,13,1,4,2,"Improved Electricity",18,2001,25
"01020700101",0,1,2,7,8,88,1,1,1,2,"New Road",15,2002,100
"01020700101",0,1,2,7,8,88,1,1,2,2,"New Employment Oppurtunity",13,2000,40
"01020700101",0,1,2,7,8,88,1,1,3,2,"New School",16,2001,50
"01020800603",1,1,2,8,8,88,6,3,1,1,"Other Bad (Specify)",11,2003,8
"01020800603",1,1,2,8,8,88,6,3,2,1,"Crop Disease/Pests",3,2003,75
"01020800603",1,1,2,8,8,88,6,3,1,2,"New Health Facility",14,2001,100
"01020800603",1,1,2,8,8,88,6,3,2,2,"PSNP",19,1999,35
"01020800603",1,1,2,8,8,88,6,3,3,2,"Development Project",12,2002,3
"01020800603",1,1,2,8,8,88,6,3,4,2,"New School",16,1999,100
"01020900602",1,1,2,9,8,88,6,2,1,2,"Development Project",12,2003,60
"01020900602",1,1,2,9,8,88,6,2,2,2,"New Employment Oppurtunity",13,2003,30
"01020900602",1,1,2,9,8,88,6,2,3,2,"New Health Facility",14,2002,55
"01030100204",1,1,3,1,8,88,2,4,1,1,"Drought",1,2001,75
"01030100204",1,1,3,1,8,88,2,4,1,2,"PSNP",19,2001,25
"01030100204",1,1,3,1,8,88,2,4,2,2,"Improved Electricity",18,2000,25
"01030300605",1,1,3,3,8,88,6,5,1,1,"Drought",1,2001,15
"01030300605",1,1,3,3,8,88,6,5,1,2,"Improved Electricity",18,2002,25
"01030300605",1,1,3,3,8,88,6,5,2,2,"PSNP",19,1999,21
"01030400101",1,1,3,4,8,88,1,1,1,2,"New Road",15,2002,25
"01030400101",1,1,3,4,8,88,1,1,2,2,"PSNP",19,1999,50
"01030400101",1,1,3,4,8,88,1,1,3,2,"Development Project",12,1999,15
"01030501202",1,1,3,5,8,88,12,2,1,1,"Sharp Change in Prices",7,2004,50
"01030501202",1,1,3,5,8,88,12,2,1,2,"PSNP",19,2000,5
"01030501202",1,1,3,5,8,88,12,2,2,2,"New School",16,2000,50
"01030501202",1,1,3,5,8,88,12,2,3,2,"New Health Facility",14,2000,90
"01030501202",1,1,3,5,8,88,12,2,4,2,"Development Project",12,2000,60
"01030600608",1,1,3,6,8,88,6,8,1,1,"Flood",2,2002,15
"01030600608",1,1,3,6,8,88,6,8,1,2,"PSNP",19,1999,0
"01030600608",1,1,3,6,8,88,6,8,2,2,"New School",16,2002,0
"01030700116",0,1,3,7,1,0,1,16,1,1,"Sharp Change in Prices",7,2000,85
"01030700709",1,1,3,7,8,88,7,9,1,1,"Crop Disease/Pests",3,2004,50
"01030700709",1,1,3,7,8,88,7,9,2,1,"Other Bad (Specify)",11,2003,15
"01030700709",1,1,3,7,8,88,7,9,1,2,"Improved Electricity",18,2000,10
"01030700709",1,1,3,7,8,88,7,9,2,2,"Development Project",12,2000,100
"01030700709",1,1,3,7,8,88,7,9,3,2,"New Road",15,2000,100
"01040101204",1,1,4,1,8,88,12,4,1,1,"Crop Disease/Pests",3,2002,45
"01040101204",1,1,4,1,8,88,12,4,2,1,"Other Bad (Specify)",11,2003,65
"01040101204",1,1,4,1,8,88,12,4,3,1,"Human Epidemic Disease",5,2004,25
"01040101204",1,1,4,1,8,88,12,4,1,2,"PSNP",19,2001,54
"01040101204",1,1,4,1,8,88,12,4,2,2,"New Health Facility",14,2003,89
"01040101204",1,1,4,1,8,88,12,4,3,2,"New School",16,2001,96
"01040300109",0,1,4,3,1,0,1,9,1,1,"Other Bad (Specify)",11,2003,2
"01040300109",0,1,4,3,1,0,1,9,2,1,"Drought",1,2002,67
"01040300109",0,1,4,3,1,0,1,9,1,2,"Improved Transportation Services",17,2001,76
"01040300109",0,1,4,3,1,0,1,9,2,2,"New School",16,2001,90
"01040300109",0,1,4,3,1,0,1,9,3,2,"New Health Facility",14,2000,50
"01040300109",0,1,4,3,1,0,1,9,4,2,"PSNP",19,2002,15
"01040300404",1,1,4,3,8,88,4,4,1,1,"Drought",1,2002,50
"01040300404",1,1,4,3,8,88,4,4,1,2,"PSNP",19,2003,25
"01040300404",1,1,4,3,8,88,4,4,2,2,"Improved Electricity",18,2001,25
"01040400103",1,1,4,4,8,88,1,3,1,1,"Drought",1,2002,30
"01040400103",1,1,4,4,8,88,1,3,2,1,"Livestock Disease",4,2004,72
"01040400103",1,1,4,4,8,88,1,3,3,1,"Massive Job Lay-offs",8,2001,100
"01040400103",1,1,4,4,8,88,1,3,4,1,"Flood",2,2003,30
"01040400103",1,1,4,4,8,88,1,3,1,2,"New School",16,2001,100
"01040400103",1,1,4,4,8,88,1,3,2,2,"Improved Transportation Services",17,2003,100
"01040400103",1,1,4,4,8,88,1,3,3,2,"PSNP",19,2000,25
"01040400103",1,1,4,4,8,88,1,3,4,2,"Development Project",12,2000,100
"01040500701",1,1,4,5,8,88,7,1,1,1,"Flood",2,2003,9
"01040500701",1,1,4,5,8,88,7,1,2,1,"Other Bad (Specify)",11,2003,15
"01040500701",1,1,4,5,8,88,7,1,1,2,"Development Project",12,2000,30
"01040600803",1,1,4,6,8,88,8,3,1,1,"Drought",1,2000,30
"01040600803",1,1,4,6,8,88,8,3,2,1,"Flood",2,2003,1
"01040600803",1,1,4,6,8,88,8,3,1,2,"Improved Transportation Services",17,2004,100
"01040600803",1,1,4,6,8,88,8,3,2,2,"New Road",15,2004,100
"01040800402",1,1,4,8,8,88,4,2,1,1,"Drought",1,2002,50
"01040800402",1,1,4,8,8,88,4,2,2,1,"Drought",1,2000,60
"01040800402",1,1,4,8,8,88,4,2,1,2,"PSNP",19,2003,52
"01040800402",1,1,4,8,8,88,4,2,2,2,"New Road",15,2000,100
"01040800402",1,1,4,8,8,88,4,2,3,2,"New School",16,2000,100
"01050100105",1,1,5,1,8,88,1,5,1,1,"Sharp Change in Prices",7,2003,100
"01050100105",1,1,5,1,8,88,1,5,2,1,"Drought",1,2004,35
"01050100105",1,1,5,1,8,88,1,5,3,1,"Crop Disease/Pests",3,2000,12
"01050100105",1,1,5,1,8,88,1,5,1,2,"New Health Facility",14,2003,95
"01050100105",1,1,5,1,8,88,1,5,2,2,"Other Good (Specify)",20,2000,86
"01050200201",1,1,5,2,8,88,2,1,1,1,"Livestock Disease",4,2004,7
"01050200201",1,1,5,2,8,88,2,1,2,1,"Drought",1,2002,100
"01050200201",1,1,5,2,8,88,2,1,3,1,"Sharp Change in Prices",7,2004,100
"01050200201",1,1,5,2,8,88,2,1,4,1,"Human Epidemic Disease",5,2003,30
"01050200201",1,1,5,2,8,88,2,1,1,2,"Other Good (Specify)",20,2003,100
"01050200201",1,1,5,2,8,88,2,1,2,2,"Development Project",12,2004,18
"01050200712",1,1,5,2,8,88,7,12,1,1,"Other Bad (Specify)",11,1999,100
"01050200712",1,1,5,2,8,88,7,12,2,1,"Other Bad (Specify)",11,1999,100
"01050200712",1,1,5,2,8,88,7,12,3,1,"Livestock Disease",4,2004,80
"01050200712",1,1,5,2,8,88,7,12,4,1,"Sharp Change in Prices",7,2003,95
"01050200712",1,1,5,2,8,88,7,12,1,2,"New Health Facility",14,2003,100
"01050200712",1,1,5,2,8,88,7,12,2,2,"New School",16,1999,100
"01050201503",1,1,5,2,8,88,15,3,1,1,"Crop Disease/Pests",3,2003,65
"01050201503",1,1,5,2,8,88,15,3,2,1,"Livestock Disease",4,2004,94
"01050201503",1,1,5,2,8,88,15,3,3,1,"Sharp Change in Prices",7,2002,85
"01050201503",1,1,5,2,8,88,15,3,4,1,"Flood",2,2004,7
"01050201503",1,1,5,2,8,88,15,3,1,2,"New School",16,1999,100
"01050201503",1,1,5,2,8,88,15,3,2,2,"Development Project",12,2003,90
"01050201503",1,1,5,2,8,88,15,3,3,2,"New Health Facility",14,2003,95
"01050301501",1,1,5,3,8,88,15,1,1,1,"Crop Disease/Pests",3,2001,92
"01050301501",1,1,5,3,8,88,15,1,2,1,"Livestock Disease",4,2004,94
"01050301501",1,1,5,3,8,88,15,1,3,1,"Sharp Change in Prices",7,2002,90
"01050301501",1,1,5,3,8,88,15,1,1,2,"New School",16,2000,100
"01050301501",1,1,5,3,8,88,15,1,2,2,"Improved Transportation Services",17,2001,100
"01050301501",1,1,5,3,8,88,15,1,3,2,"New Health Facility",14,2000,95
"01050301501",1,1,5,3,8,88,15,1,4,2,"Development Project",12,2000,95
"01050302304",1,1,5,3,8,88,23,4,1,1,"Sharp Change in Prices",7,2003,100
"01050302304",1,1,5,3,8,88,23,4,2,1,"Human Epidemic Disease",5,2003,50
"01050302304",1,1,5,3,8,88,23,4,3,1,"Livestock Disease",4,2004,80
"01050302304",1,1,5,3,8,88,23,4,1,2,"Other Good (Specify)",20,2003,100
"01050302304",1,1,5,3,8,88,23,4,2,2,"Development Project",12,2003,5
"02010200102",0,2,1,2,4,1,1,2,1,1,"Drought",1,2004,80
"02010200102",0,2,1,2,4,1,1,2,2,1,"Sharp Change in Prices",7,2002,10
"02010200102",0,2,1,2,4,1,1,2,3,1,"Livestock Disease",4,2004,10
"02010200102",0,2,1,2,4,1,1,2,1,2,"Improved Electricity",18,2002,70
"02010300102",1,2,1,3,8,88,1,2,1,1,"Drought",1,2003,75
"02010300102",1,2,1,3,8,88,1,2,2,1,"Livestock Disease",4,2003,65
"02010300102",1,2,1,3,8,88,1,2,3,1,"Sharp Change in Prices",7,2004,80
"02010300102",1,2,1,3,8,88,1,2,1,2,"New Health Facility",14,2004,0
"02010300102",1,2,1,3,8,88,1,2,2,2,"Development Project",12,2004,0
"02010300601",1,2,1,3,8,88,6,1,1,1,"Human Epidemic Disease",5,2003,2
"02010300601",1,2,1,3,8,88,6,1,2,1,"Livestock Disease",4,2002,3
"02010300601",1,2,1,3,8,88,6,1,1,2,"New School",16,2000,2
"02010300802",1,2,1,3,8,88,8,2,1,1,"Other Bad (Specify)",11,2003,2
"02010300802",1,2,1,3,8,88,8,2,2,1,"Sharp Change in Prices",7,2002,3
"02010300802",1,2,1,3,8,88,8,2,1,2,"New School",16,1999,1
"02010400201",1,2,1,4,8,88,2,1,1,1,"Flood",2,2003,2
"02010400201",1,2,1,4,8,88,2,1,2,1,"Livestock Disease",4,2003,2
"02010400201",1,2,1,4,8,88,2,1,1,2,"New School",16,2000,0
"02010400201",1,2,1,4,8,88,2,1,2,2,"Improved Electricity",18,2004,0
"02010400201",1,2,1,4,8,88,2,1,3,2,"PSNP",19,2004,0
"02010500404",1,2,1,5,8,88,4,4,1,1,"Livestock Disease",4,2002,50
"02010500404",1,2,1,5,8,88,4,4,2,1,"Drought",1,2000,60
"02010500404",1,2,1,5,8,88,4,4,3,1,"Flood",2,2001,80
"02010500404",1,2,1,5,8,88,4,4,4,1,"Sharp Change in Prices",7,2000,85
"02010500404",1,2,1,5,8,88,4,4,1,2,"New School",16,1999,0
"02010500404",1,2,1,5,8,88,4,4,2,2,"New Health Facility",14,2000,0
"02010501103",1,2,1,5,8,88,11,3,1,1,"Drought",1,2003,50
"02010600402",1,2,1,6,8,88,4,2,1,1,"Crop Disease/Pests",3,2002,30
"02010600402",1,2,1,6,8,88,4,2,2,1,"Sharp Change in Prices",7,2004,100
"02030100101",0,2,3,1,1,1,1,1,1,2,"New Employment Oppurtunity",13,2002,0
"02030200102",1,2,3,2,8,88,1,2,1,1,"Flood",2,2002,23
"02030200102",1,2,3,2,8,88,1,2,1,2,"Development Project",12,1999,0
"02030400601",1,2,3,4,8,88,6,1,1,1,"Livestock Disease",4,2004,85
"02030400601",1,2,3,4,8,88,6,1,2,1,"Drought",1,2003,70
"02030400601",1,2,3,4,8,88,6,1,3,1,"Human Epidemic Disease",5,2004,55
"02030400601",1,2,3,4,8,88,6,1,4,1,"Other Bad (Specify)",11,2004,100
"02030400601",1,2,3,4,8,88,6,1,1,2,"New Employment Oppurtunity",13,2004,30
"02030400601",1,2,3,4,8,88,6,1,2,2,"Other Good (Specify)",20,2004,60
"02030400601",1,2,3,4,8,88,6,1,3,2,"PSNP",19,2004,100
"02030400601",1,2,3,4,8,88,6,1,4,2,"Development Project",12,2004,30
"02030600601",1,2,3,6,8,88,6,1,1,1,"Livestock Disease",4,2004,60
"02030600601",1,2,3,6,8,88,6,1,2,1,"Crop Disease/Pests",3,2004,90
"02030600601",1,2,3,6,8,88,6,1,3,1,"Drought",1,2004,90
"02030600601",1,2,3,6,8,88,6,1,4,1,"Human Epidemic Disease",5,2004,50
"02030600601",1,2,3,6,8,88,6,1,1,2,"New School",16,2004,80
"02030600601",1,2,3,6,8,88,6,1,2,2,"Other Good (Specify)",20,2003,70
"02030600601",1,2,3,6,8,88,6,1,3,2,"PSNP",19,2004,100
"02030600601",1,2,3,6,8,88,6,1,4,2,"Development Project",12,2004,100
"03010100204",1,3,1,1,8,88,2,4,1,2,"New Road",15,2003,50
"03010400901",1,3,1,4,8,88,9,1,1,1,"Sharp Change in Prices",7,2003,50
"03010400901",1,3,1,4,8,88,9,1,2,1,"Drought",1,2002,33
"03010400901",1,3,1,4,8,88,9,1,1,2,"New School",16,2000,50
"03011001806",1,3,1,10,8,88,18,6,1,1,"Crop Disease/Pests",3,2004,25
"03011001806",1,3,1,10,8,88,18,6,2,1,"Drought",1,2003,50
"03011001806",1,3,1,10,8,88,18,6,1,2,"Development Project",12,2002,33
"03011100102",0,3,1,11,8,88,1,2,1,1,"Livestock Disease",4,1999,30
"03011100102",0,3,1,11,8,88,1,2,2,1,"Human Epidemic Disease",5,2000,15
"03011100102",0,3,1,11,8,88,1,2,3,1,"Crop Disease/Pests",3,1999,25
"03011100102",0,3,1,11,8,88,1,2,4,1,"Sharp Change in Prices",7,2003,35
"03011100102",0,3,1,11,8,88,1,2,1,2,"New Health Facility",14,1999,75
"03011100102",0,3,1,11,8,88,1,2,2,2,"Development Project",12,1999,50
"03011200203",1,3,1,12,8,88,2,3,1,1,"Crop Disease/Pests",3,2002,25
"03011200203",1,3,1,12,8,88,2,3,2,1,"Drought",1,2002,35
"03011200203",1,3,1,12,8,88,2,3,3,1,"Livestock Disease",4,2004,40
"03011200203",1,3,1,12,8,88,2,3,1,2,"New School",16,1999,50
"03011400816",1,3,1,14,8,88,8,16,1,1,"Livestock Disease",4,2003,27
"03011400816",1,3,1,14,8,88,8,16,2,1,"Crop Disease/Pests",3,2003,30
"03011400816",1,3,1,14,8,88,8,16,3,1,"Human Epidemic Disease",5,2003,35
"03011400816",1,3,1,14,8,88,8,16,1,2,"New Health Facility",14,2000,40
"03011602804",1,3,1,16,8,88,28,4,1,1,"Flood",2,2003,25
"03011602804",1,3,1,16,8,88,28,4,2,1,"Crop Disease/Pests",3,2004,33
"03011602804",1,3,1,16,8,88,28,4,1,2,"PSNP",19,2001,50
"03012000105",0,3,1,20,1,1,1,5,1,2,"New Road",15,1999,0
"03012000105",0,3,1,20,1,1,1,5,2,2,"New Health Facility",14,2002,0
"03012000105",0,3,1,20,1,1,1,5,3,2,"Improved Transportation Services",17,1999,0
"03020100703",1,3,2,1,8,88,7,3,1,1,"Flood",2,2004,15
"03020100703",1,3,2,1,8,88,7,3,2,1,"Crop Disease/Pests",3,2003,10
"03020100703",1,3,2,1,8,88,7,3,3,1,"Drought",1,2002,25
"03020100703",1,3,2,1,8,88,7,3,1,2,"New Health Facility",14,2003,33
"03020202508",1,3,2,2,8,88,25,8,1,1,"Other Bad (Specify)",11,2003,80
"03020202508",1,3,2,2,8,88,25,8,2,1,"Drought",1,2001,20
"03020202508",1,3,2,2,8,88,25,8,3,1,"Livestock Disease",4,2003,5
"03020202508",1,3,2,2,8,88,25,8,4,1,"Flood",2,2002,10
"03020202508",1,3,2,2,8,88,25,8,1,2,"New School",16,2000,30
"03020400906",1,3,2,4,8,88,9,6,1,1,"Crop Disease/Pests",3,2001,50
"03020400906",1,3,2,4,8,88,9,6,2,1,"Human Epidemic Disease",5,2003,3
"03020400906",1,3,2,4,8,88,9,6,3,1,"Sharp Change in Prices",7,2002,50
"03020400906",1,3,2,4,8,88,9,6,1,2,"New School",16,2002,50
"03020501907",1,3,2,5,8,88,19,7,1,2,"New Road",15,2002,1
"03020501907",1,3,2,5,8,88,19,7,2,2,"New Health Facility",14,2003,1
"03020703703",1,3,2,7,8,88,37,3,1,1,"Sharp Change in Prices",7,2001,25
"03020703703",1,3,2,7,8,88,37,3,1,2,"PSNP",19,2004,65
"03020703703",1,3,2,7,8,88,37,3,2,2,"New Health Facility",14,2001,50
"03020703703",1,3,2,7,8,88,37,3,3,2,"New School",16,2002,10
"03020900104",0,3,2,9,1,1,1,4,1,2,"Development Project",12,2004,1
"03020900708",1,3,2,9,8,88,7,8,1,2,"New School",16,2002,0
"03020900708",1,3,2,9,8,88,7,8,2,2,"New Health Facility",14,2001,0
"03030100204",1,3,3,1,8,88,2,4,1,1,"Drought",1,1999,80
"03030100204",1,3,3,1,8,88,2,4,2,1,"Crop Disease/Pests",3,1999,100
"03030100204",1,3,3,1,8,88,2,4,3,1,"Loss of Key Social Service(s)",9,1999,10
"03030100204",1,3,3,1,8,88,2,4,4,1,"Sharp Change in Prices",7,2000,30
"03030100204",1,3,3,1,8,88,2,4,1,2,"Development Project",12,1999,30
"03030100204",1,3,3,1,8,88,2,4,2,2,"New Health Facility",14,1999,50
"03030100204",1,3,3,1,8,88,2,4,3,2,"New School",16,2000,80
"03030100204",1,3,3,1,8,88,2,4,4,2,"PSNP",19,2000,90
"03030200108",0,3,3,2,2,2,1,8,1,1,"Drought",1,2000,90
"03030200108",0,3,3,2,2,2,1,8,2,1,"Sharp Change in Prices",7,2002,75
"03030200108",0,3,3,2,2,2,1,8,3,1,"Drought",1,2002,50
"03030200108",0,3,3,2,2,2,1,8,1,2,"New Health Facility",14,2002,80
"03030200108",0,3,3,2,2,2,1,8,2,2,"Improved Electricity",18,2003,75
"03030200108",0,3,3,2,2,2,1,8,3,2,"New Road",15,2003,75
"03030200108",0,3,3,2,2,2,1,8,4,2,"Development Project",12,2003,90
"03030202104",1,3,3,2,8,88,21,4,1,1,"Flood",2,2002,5
"03030202104",1,3,3,2,8,88,21,4,2,1,"Drought",1,2002,30
"03030202104",1,3,3,2,8,88,21,4,3,1,"Livestock Disease",4,2002,15
"03030202104",1,3,3,2,8,88,21,4,1,2,"Development Project",12,2003,90
"03030202104",1,3,3,2,8,88,21,4,2,2,"New Health Facility",14,2000,75
"03030302404",1,3,3,3,8,88,24,4,1,1,"Sharp Change in Prices",7,2003,75
"03030302404",1,3,3,3,8,88,24,4,2,1,"Sharp Change in Prices",7,2002,75
"03030302404",1,3,3,3,8,88,24,4,3,1,"Drought",1,2000,75
"03030302404",1,3,3,3,8,88,24,4,4,1,"Sharp Change in Prices",7,2004,75
"03030302404",1,3,3,3,8,88,24,4,1,2,"New School",16,2002,50
"03030400906",1,3,3,4,8,88,9,6,1,1,"Livestock Disease",4,2004,90
"03030400906",1,3,3,4,8,88,9,6,2,1,"Crop Disease/Pests",3,2001,90
"03030400906",1,3,3,4,8,88,9,6,3,1,"Drought",1,2003,90
"03030400906",1,3,3,4,8,88,9,6,4,1,"Sharp Change in Prices",7,2002,100
"03030400906",1,3,3,4,8,88,9,6,1,2,"New Health Facility",14,2003,60
"03030400906",1,3,3,4,8,88,9,6,2,2,"Improved Transportation Services",17,2004,90
"03030400906",1,3,3,4,8,88,9,6,3,2,"Development Project",12,2003,50
"03030501101",1,3,3,5,8,88,11,1,1,1,"Sharp Change in Prices",7,2004,100
"03030501101",1,3,3,5,8,88,11,1,2,1,"Drought",1,2001,80
"03030501101",1,3,3,5,8,88,11,1,3,1,"Livestock Disease",4,2004,20
"03030501101",1,3,3,5,8,88,11,1,4,1,"Flood",2,2004,30
"03030501101",1,3,3,5,8,88,11,1,1,2,"New School",16,2002,90
"03030501101",1,3,3,5,8,88,11,1,2,2,"PSNP",19,1999,25
"03030501101",1,3,3,5,8,88,11,1,3,2,"Development Project",12,2002,15
"03030501101",1,3,3,5,8,88,11,1,4,2,"New School",16,1999,85
"03030701002",1,3,3,7,8,88,10,2,1,1,"Drought",1,2002,15
"03030701002",1,3,3,7,8,88,10,2,2,1,"Drought",1,2003,15
"03030701002",1,3,3,7,8,88,10,2,1,2,"New Health Facility",14,2002,50
"03030701002",1,3,3,7,8,88,10,2,2,2,"Improved Electricity",18,2000,10
"03030801617",1,3,3,8,8,88,16,17,1,1,"Drought",1,1999,80
"03030801617",1,3,3,8,8,88,16,17,2,1,"Sharp Change in Prices",7,2000,90
